date,value,transactions,type
"2020-01-01",21.5,"Foreign_transactions",3
"2020-01-02",14.2,"Foreign_transactions",3
"2020-01-03",28.1,"Foreign_transactions",3
"2020-01-04",25.5,"Foreign_transactions",3
"2020-01-05",3,"Foreign_transactions",3
"2020-01-06",27.9,"Foreign_transactions",3
"2020-01-07",11.8,"Foreign_transactions",3
"2020-01-08",14.5,"Foreign_transactions",3
"2020-01-09",11.7,"Foreign_transactions",3
"2020-01-10",12,"Foreign_transactions",3
"2020-01-11",13,"Foreign_transactions",3
"2020-01-12",2.2,"Foreign_transactions",3
"2020-01-13",22.6,"Foreign_transactions",3
"2020-01-14",13.2,"Foreign_transactions",3
"2020-01-15",9,"Foreign_transactions",3
"2020-01-16",9.3,"Foreign_transactions",3
"2020-01-17",9.6,"Foreign_transactions",3
"2020-01-18",11.3,"Foreign_transactions",3
"2020-01-19",1.9,"Foreign_transactions",3
"2020-01-20",21.5,"Foreign_transactions",3
"2020-01-21",11.6,"Foreign_transactions",3
"2020-01-22",8.9,"Foreign_transactions",3
"2020-01-23",8.6,"Foreign_transactions",3
"2020-01-24",9.6,"Foreign_transactions",3
"2020-01-25",14,"Foreign_transactions",3
"2020-01-26",2.8,"Foreign_transactions",3
"2020-01-27",27.7,"Foreign_transactions",3
"2020-01-28",14.8,"Foreign_transactions",3
"2020-01-29",11.2,"Foreign_transactions",3
"2020-01-30",10.9,"Foreign_transactions",3
"2020-01-31",11.3,"Foreign_transactions",3
"2020-02-01",14.6,"Foreign_transactions",3
"2020-02-02",2.7,"Foreign_transactions",3
"2020-02-03",27,"Foreign_transactions",3
"2020-02-04",14.3,"Foreign_transactions",3
"2020-02-05",11.6,"Foreign_transactions",3
"2020-02-06",11,"Foreign_transactions",3
"2020-02-07",11.2,"Foreign_transactions",3
"2020-02-08",14.7,"Foreign_transactions",3
"2020-02-09",2.6,"Foreign_transactions",3
"2020-02-10",23.2,"Foreign_transactions",3
"2020-02-11",13.6,"Foreign_transactions",3
"2020-02-12",14.6,"Foreign_transactions",3
"2020-02-13",10.8,"Foreign_transactions",3
"2020-02-14",11.1,"Foreign_transactions",3
"2020-02-15",14.9,"Foreign_transactions",3
"2020-02-16",2.4,"Foreign_transactions",3
"2020-02-17",24.8,"Foreign_transactions",3
"2020-02-18",13.8,"Foreign_transactions",3
"2020-02-19",10.5,"Foreign_transactions",3
"2020-02-20",9.8,"Foreign_transactions",3
"2020-02-21",10.3,"Foreign_transactions",3
"2020-02-22",13.9,"Foreign_transactions",3
"2020-02-23",2.2,"Foreign_transactions",3
"2020-02-24",22.2,"Foreign_transactions",3
"2020-02-25",13.3,"Foreign_transactions",3
"2020-02-26",12.6,"Foreign_transactions",3
"2020-02-27",12.1,"Foreign_transactions",3
"2020-02-28",12.2,"Foreign_transactions",3
"2020-02-29",14.8,"Foreign_transactions",3
"2020-03-01",2.7,"Foreign_transactions",3
"2020-03-02",25.3,"Foreign_transactions",3
"2020-03-03",15.1,"Foreign_transactions",3
"2020-03-04",10.7,"Foreign_transactions",3
"2020-03-05",10.3,"Foreign_transactions",3
"2020-03-06",10.5,"Foreign_transactions",3
"2020-03-07",12.9,"Foreign_transactions",3
"2020-03-08",2.2,"Foreign_transactions",3
"2020-03-09",22.4,"Foreign_transactions",3
"2020-03-10",12.6,"Foreign_transactions",3
"2020-03-11",8.7,"Foreign_transactions",3
"2020-03-12",8.8,"Foreign_transactions",3
"2020-03-13",9.5,"Foreign_transactions",3
"2020-03-14",12.5,"Foreign_transactions",3
"2020-03-15",1.6,"Foreign_transactions",3
"2020-03-16",15,"Foreign_transactions",3
"2020-03-17",7.7,"Foreign_transactions",3
"2020-03-18",5.7,"Foreign_transactions",3
"2020-03-19",3.6,"Foreign_transactions",3
"2020-03-20",3.3,"Foreign_transactions",3
"2020-03-21",3.3,"Foreign_transactions",3
"2020-03-22",.3,"Foreign_transactions",3
"2020-03-23",3.1,"Foreign_transactions",3
"2020-03-24",3.5,"Foreign_transactions",3
"2020-03-25",2.7,"Foreign_transactions",3
"2020-03-26",3.7,"Foreign_transactions",3
"2020-03-27",3.5,"Foreign_transactions",3
"2020-03-28",3.7,"Foreign_transactions",3
"2020-03-29",.4,"Foreign_transactions",3
"2020-03-30",3.3,"Foreign_transactions",3
"2020-03-31",3.5,"Foreign_transactions",3
"2020-04-01",3.3,"Foreign_transactions",3
"2020-04-02",3.8,"Foreign_transactions",3
"2020-04-03",3.7,"Foreign_transactions",3
"2020-04-04",3.7,"Foreign_transactions",3
"2020-04-05",.4,"Foreign_transactions",3
"2020-04-06",3.7,"Foreign_transactions",3
"2020-04-07",4.1,"Foreign_transactions",3
